Weight,Height,Gender,ExerciseAv,ExerciseYN,FriedItemsFreq
177,73,Male,5,Yes,None
180,65,Female,7,Yes,Less than 3 times 
130,70,Female,4,Yes,Less than 3 times 
123,61,Female,5,No,None
195,72,Female,1,No,Less than 3 times 
170,64,Female,2,No,Less than 3 times 
189,69,Male,3,Yes,None
175,67,Female,2,No,Less than 3 times 
154,69,Male,4,No,At least 3 times
135,63,Female,2,Yes,None
163,67,Female,2,No,Less than 3 times 
190,68,Female,4,Yes,None
161,66,Female,3,No,Less than 3 times 
138,67,Female,3,Yes,None
135,63,Female,1,No,Less than 3 times 
118,65,Female,3,Yes,None
130,68,Female,3,Yes,None
159,63,Female,1,No,None
175,71,Male,4,Yes,At least 3 times
118,61,Female,5,Yes,None
130,61,Female,5,Yes,Less than 3 times 
160,62,Female,2,No,Less than 3 times 
100,64,Female,5,Yes,None
160,63,Female,5,Yes,None
160,66,Female,2,No,Less than 3 times 
130,65,Female,2,No,Less than 3 times 
140,70,Female,4,Yes,Less than 3 times 
185,70,Male,5,Yes,Less than 3 times 
140,67,Female,1,No,Less than 3 times 
120,68,Female,5,Yes,None
187,60,Female,2,Yes,None
180,70,Male,3,No,At least 3 times
154,72,Male,3,No,Less than 3 times 
130,64,Female,4,Yes,Less than 3 times 
125,6,Male,4,Yes,Less than 3 times 
230,74,Male,5,Yes,Less than 3 times 
21,73,Male,4,Yes,None
