Bo_Age,Ln_Orig,Orig_LTV_Ratio_Pct,Credit_score,First_home,Tot_mthly_debt_exp,Tot_mthly_incm,orig_apprd_val_amt,pur_prc_amt,DTI Ratio,Status,OUTCOME,State,UPB>Appraisal,median income ($),% of people in poverty,LoanValuetoAppraised
37,152550,90,551,Y,1009,2654,126000,123500,0.380181,Default,default,GA,1,43217,12,1.210714286
50,127410,85,662,N,921,3950,90812,88000,0.233165,Default,default,MO,1,43988,10.9,1.403008413
24,130900,97,631,N,1100,3049,115000,114829,0.360774,Default,default,GA,1,43217,12,1.13826087
22,144000,80,590,N,1200,2280,114100,114100,0.526316,Default,default,NC,1,39000,14.8,1.262050833
34,199900,100,676,N,1433,3800,169900,142900,0.377105,Default,default,TX,1,41275,16.4,1.176574456
27,212000,100,510,Y,757,1943,108000,108000,0.389604,Default,default,GA,1,43217,12,1.962962963
25,123300,90,744,N,2289,6500,274000,123300,0.352154,Default,default,NJ,0,56772,8.2,0.45
37,58400,80,594,Y,1350,5000,160000,160000,0.27,Default,default,MI,0,44476,12.1,0.365
51,118200,99,747,N,555,3959,77000,77000,0.140187,Default,default,NV,1,46984,10.2,1.535064935
27,232525,89,620,N,1466,2374,93000,88950,0.617523,Default,default,GA,1,43217,12,2.500268817
38,248675,102,652,N,1125,2046,85000,83501,0.549853,Default,default,KS,1,43725,10.7,2.925588235
59,202350,95,725,N,1200,3250,144500,144200,0.369231,Default,default,MN,1,55914,7,1.400346021
41,197000,100,652,N,4600,5025,190000,185000,0.915481,Default,default,TX,1,41275,16.4,1.036842105
24,209000,100,551,Y,1225,3450,163000,162000,0.355072,Default,default,GA,1,43217,12,1.282208589
45,183200,93,531,Y,1336,2147,119000,118490,0.622264,Default,default,TX,1,41275,16.4,1.539495798
29,171535,102,671,N,2223,5025,270000,270000,0.442416,Default,default,NJ,0,56772,8.2,0.635314815
37,309250,90,680,N,0,5025,138000,137990,0,Default,default,AZ,1,42590,13.8,2.240942029
39,150000,100,720,N,1137,3800,145000,144639,0.299211,Default,default,GA,1,43217,12,1.034482759
36,172800,98,556,Y,1752,4020,124000,124000,0.435821,Default,default,TX,1,41275,16.4,1.393548387
37,180000,90,657,Y,571,2080,61600,61600,0.274519,Default,default,AZ,1,42590,13.8,2.922077922
24,184647,95,612,N,915,4375,87900,87900,0.209143,Default,default,FL,1,40171,12.3,2.100648464
23,106000,100,697,N,4134,7167,435000,435000,0.57681,Default,default,NY,0,44228,14.4,0.243678161
37,250857,95,638,N,0,5025,198000,197942,0,Default,default,TX,1,41275,16.4,1.266954545
50,413100,78,674,N,447,1746,63500,73000,0.256014,Default,default,CA,1,49894,13.2,6.505511811
56,177300,90,513,Y,973,2560,107000,106000,0.380078,Default,default,TN,1,38550,14.9,1.657009346
44,137258,90,692,N,1779,3521,144000,143000,0.505254,Default,default,GA,0,43217,12,0.953180556
44,253600,80,665,N,1154,5025,140000,118000,0.229666,Default,default,SC,1,39326,14,1.811428571
30,83100,100,712,N,1001,4872,119000,102000,0.20546,Default,default,TX,0,41275,16.4,0.698319328
37,139000,100,569,Y,1240,1856,73000,70900,0.668103,Default,default,VA,1,53275,9.8,1.904109589
50,204128,97,693,N,1184,2776,90000,87500,0.426513,Default,default,OH,1,44160,10.8,2.268088889
44,184500,90,674,N,988,5025,108500,108500,0.196629,Default,default,NC,1,39000,14.8,1.700460829
32,273000,90,596,Y,811,1912,65000,65000,0.424163,Default,default,FL,1,40171,12.3,4.2
36,150000,79,639,Y,823,5025,87000,84000,0.163791,Default,default,LA,1,35523,17,1.724137931
38,267600,80,676,N,603,2850,60000,59500,0.211579,Default,default,NM,1,37587,17.5,4.46
37,283000,100,601,Y,1012,2249,72000,59900,0.449978,Default,default,TX,1,41275,16.4,3.930555556
31,65000,100,585,N,0,6240,124000,123943,0,Default,default,AZ,0,42590,13.8,0.524193548
34,175000,100,685,N,748,3500,140000,131354,0.213714,Default,default,TX,1,41275,16.4,1.25
42,161990,97,622,N,2265,4321,200000,199000,0.524184,Default,default,IL,0,45787,12.5,0.80995
42,146000,87,774,N,897,3425,119000,119000,0.261898,Default,default,IL,1,45787,12.5,1.226890756
29,147000,100,653,N,0,4213,57000,56800,0,Default,default,TX,1,41275,16.4,2.578947368
37,308700,90,685,N,832,5025,61000,60000,0.165583,Default,default,MD,1,56763,8.6,5.060655738
32,316800,90,666,Y,1132,2899,44000,43300,0.390479,Default,default,TX,1,41275,16.4,7.2
31,138900,100,619,N,1630,7254,193000,192500,0.224704,Default,default,GA,0,43217,12,0.719689119
77,281250,75,743,N,5390,9891,499000,499000,0.54494,Default,default,FL,0,40171,12.3,0.563627255
23,67400,98,515,N,1015,6795,152000,149900,0.149375,Default,default,GA,0,43217,12,0.443421053
39,161910,90,685,N,1927,3861,160000,149203,0.499093,Default,default,GA,1,43217,12,1.0119375
40,223300,102,638,N,1089,5025,97000,97000,0.21673,Default,default,TX,1,41275,16.4,2.302061856
37,204750,65,724,N,994,2817,75000,75000,0.352858,Default,default,AZ,1,42590,13.8,2.73
37,89000,100,674,N,1399,5200,149000,149000,0.269038,Default,default,OH,0,44160,10.8,0.597315436
33,260550,100,778,N,1111,3403,125000,120196,0.326477,Default,default,FL,1,40171,12.3,2.0844
46,218000,80,643,N,0,5025,315000,311792,0,Default,default,TX,0,41275,16.4,0.692063492
