ID,AGE,INCOME,SEX,MARRIED,OWNHOME,LOC,CLIMATE,FICO>=700
700778094,37,57,F,0,0,B,20,0
138158771,46,71,M,1,0,B,20,0
229652047,45,65,M,1,1,F,20,1
150424460,38,50,F,0,0,A,10,0
828150627,34,44,M,0,0,F,20,0
185836923,69,60,F,0,0,H,30,0
748406533,46,42,F,1,0,B,20,1
178127123,28,63,F,0,1,E,20,1
026837986,37,59,M,1,0,B,20,1
089930071,46,57,M,1,1,E,20,1
860668214,59,69,M,1,1,E,20,1
184382498,46,17,F,1,1,E,20,0
914376806,45,17,M,1,0,G,30,0
323543342,58,54,F,0,1,G,30,1
358306659,36,72,M,0,0,B,20,0
602403661,34,22,M,0,0,A,10,0
698416891,66,59,M,1,0,D,10,0
613886811,45,40,M,1,0,D,10,0
954123315,46,56,M,1,0,E,20,1
222408714,46,79,M,1,0,B,20,1
399225698,42,23,F,1,1,E,20,0
564828823,33,72,M,0,0,B,20,1
410916689,60,53,F,1,0,F,20,1
162704550,70,68,M,1,0,E,20,0
570754987,45,29,F,1,0,A,10,1
093975256,50,45,M,1,0,E,20,0
654263780,57,18,F,1,0,H,30,0
423187990,24,53,M,0,0,F,20,0
889794538,31,52,M,0,0,B,20,0
836482425,45,71,M,0,1,E,20,1
218863135,34,69,F,0,0,B,20,0
677520829,53,31,M,1,0,E,20,0
505507321,50,48,M,1,0,E,20,1
657288147,42,65,F,1,0,H,30,0
560199465,43,77,M,1,0,G,30,1
566475620,39,70,F,0,0,B,20,1
551826747,44,64,M,1,1,E,20,1
983868949,56,34,F,1,0,C,10,0
298906302,37,31,F,0,1,H,30,0
649078638,51,51,F,0,1,B,20,0
062784915,31,54,M,0,0,E,20,1
363842258,55,57,F,1,0,B,20,0
359163267,52,52,M,0,0,H,30,0
286513672,63,78,M,1,0,E,20,0
1E3675908,,,,,,E,20,
139084602,,,,,,E,20,
551665677,44,61,F,1,0,B,20,1
889483324,43,42,M,1,1,D,10,0
033159854,36,53,F,0,1,C,10,1
785345488,31,46,F,0,0,D,10,0
051538577,39,80,F,1,0,G,30,1
951015221,49,61,M,1,1,F,20,1
686813010,,,,,,E,20,
147**4147,73,79,M,1,0,E,20,0
341927673,48,58,M,1,0,G,30,0
161324389,49,33,F,1,0,F,20,0
932262825,49,63,F,1,0,H,30,0
745643172,66,52,F,1,1,F,20,1
587646953,29,64,M,0,0,E,20,1
